Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Debt / Equity Ratio,,0.06,0.08,0.07,0.04,0.04,0.04,0.59,0.36,0.22,0.17,0.16,0.30,0.28,0.34,0.29,0.37,0.37,0.33,0.33,0.33,0.33,0.36,0.29,0.28,0.24,0.26,0.23,0.26,0.23,0.21
Debt / EBITDA Ratio,,0.88,0.49,0.72,0.51,0.76,0.41,13.40,3.20,1.32,1.17,1.00,1.61,1.40,3.14,2.27,2.31,2.63,2.05,1.91,2.08,1.84,2.21,2.77,5.62,0.89,1.68,0.91,-7.67,0.94,1.22
Debt / FCF Ratio,,0.94,1.54,0.97,3.63,1.12,0.90,5.17,2.26,2.34,2.42,1.99,5.80,4.71,7.21,3.48,4.92,4.92,5.61,4.35,4.75,5.47,5.16,3.02,4.26,4.55,4.37,4.37,5.61,4.31,3.83
Interest Coverage,12.92,19.06,37.86,25.99,40.33,18.98,38.13,7.76,34.05,79.14,16.09,18.55,10.58,11.37,4.55,6.82,8.26,6.56,8.93,11.15,9.55,10.85,9.91,6.34,1.96,26.83,14.46,27.57,-6.18,24.83,17.36
Asset Turnover,,,0.29,0.21,0.18,0.19,0.26,0.25,0.25,0.37,0.36,0.40,0.39,0.42,0.37,0.39,0.37,0.37,0.39,0.40,0.38,0.39,0.37,0.36,0.32,0.42,0.35,0.39,0.25,0.43,0.38
Return on Equity (ROE),,,12.40%,6.80%,7.10%,2.70%,5.70%,1.40%,6.90%,11.40%,8.90%,9.60%,10.90%,11.30%,4.30%,6.80%,8.70%,6.30%,8.20%,9.40%,8.50%,9.70%,9.00%,14.40%,1.10%,20.70%,10.50%,19.00%,-4.80%,18.10%,12.00%
Return on Assets (ROA),,,6.90%,3.80%,3.80%,1.20%,2.50%,0.50%,2.60%,4.70%,3.70%,4.40%,4.60%,4.90%,1.80%,2.90%,3.60%,2.70%,3.50%,4.30%,3.90%,4.40%,4.00%,6.60%,0.60%,10.50%,5.20%,9.80%,-2.40%,9.30%,6.40%
Return on Capital (ROIC),,4.77%,10.13%,5.92%,4.88%,2.77%,5.48%,0.94%,4.80%,8.46%,6.81%,7.28%,7.76%,9.46%,4.17%,5.61%,7.03%,5.56%,6.80%,7.36%,7.01%,7.90%,6.84%,10.73%,2.44%,15.89%,8.17%,15.06%,-4.70%,14.42%,11.72%
Earnings Yield,,,6.07%,3.35%,3.23%,1.83%,3.06%,0.69%,3.84%,6.27%,5.37%,6.24%,6.49%,6.00%,3.29%,5.28%,6.55%,5.43%,6.66%,6.66%,5.38%,7.42%,5.99%,9.20%,0.80%,14.70%,7.84%,13.44%,-3.34%,12.39%,6.77%
FCF Yield,,,3.07%,4.11%,0.75%,2.58%,2.71%,5.69%,9.14%,5.60%,4.43%,5.31%,3.32%,3.26%,3.37%,7.15%,6.02%,6.50%,5.02%,5.68%,4.55%,4.75%,4.90%,6.96%,4.55%,4.10%,4.93%,3.91%,3.21%,3.84%,3.22%
Buyback Yield / Dilution,,,,-29.17%,-74.48%,-181.47%,-2.00%,-11.25%,-9.12%,-12.44%,-8.08%,-3.92%,-49.45%,-10.59%,-5.77%,-1.28%,-39.74%,-2.83%,-3.05%,-6.36%,0.01%,-50.08%,-0.04%,-0.05%,0.05%,0.60%,2.42%,5.29%,2.74%,1.36%,1.21%
Total Shareholder Return,,,,-29.17%,-74.48%,-181.47%,-2.00%,-11.25%,-9.12%,-12.44%,-8.08%,-3.92%,-49.45%,-10.59%,-5.77%,-1.28%,-39.74%,-2.83%,-3.05%,-6.36%,0.01%,-50.08%,-0.04%,-0.05%,0.05%,0.60%,2.42%,5.29%,2.74%,1.36%,1.21%
