Year Ending,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Asset Turnover,,,1.18,0.95,1.48,0.75,0.56,0.68,0.69,0.61,0.79,0.85,0.55,0.48,0.51,0.64,0.82,0.83,0.27,0.28,0.19,0.16,0.16
Return on Equity (ROE),,,20.70%,24.20%,15.70%,3.80%,-6.00%,7.20%,10.90%,10.50%,15.20%,8.80%,9.80%,9.00%,11.10%,14.20%,13.70%,21.00%,21.20%,31.30%,19.50%,8.10%,13.30%
Return on Assets (ROA),,,10.50%,9.50%,6.90%,1.80%,-2.40%,2.70%,4.70%,4.70%,6.70%,4.00%,4.00%,3.80%,4.50%,6.40%,6.80%,10.40%,3.60%,5.00%,2.10%,0.70%,1.10%
Return on Capital (ROIC),,42.66%,15.98%,21.82%,22.93%,14.57%,9.85%,5.85%,8.98%,7.50%,15.98%,17.54%,3.84%,6.49%,9.51%,13.43%,12.18%,16.48%,13.38%,22.01%,14.10%,5.65%,9.22%
Earnings Yield,,,,22.82%,10.52%,4.12%,-4.76%,7.17%,11.92%,10.57%,11.44%,4.96%,6.09%,5.48%,7.04%,7.19%,7.26%,8.51%,12.43%,18.84%,12.64%,3.72%,5.32%
FCF Yield,,,,24.20%,9.56%,7.36%,-2.47%,10.40%,4.33%,2.12%,10.19%,4.18%,4.01%,7.96%,9.51%,5.52%,10.18%,8.25%,12.79%,26.67%,41.19%,45.70%,35.91%
Dividend Yield,,,,1.00%,4.90%,8.20%,5.90%,4.50%,5.00%,3.00%,2.50%,2.00%,2.10%,2.30%,2.60%,2.60%,3.80%,2.80%,3.50%,3.00%,4.70%,3.60%,3.09%
Payout Ratio,,0.00%,0.00%,4.50%,48.70%,200.00%,-123.50%,60.60%,42.10%,28.60%,21.10%,37.70%,94.80%,41.00%,36.70%,41.80%,52.20%,32.40%,26.90%,15.90%,37.60%,95.80%,57.12%
Buyback Yield / Dilution,,,-14.90%,1.38%,-5.35%,-20.31%,4.55%,-8.81%,-0.35%,2.75%,-1.35%,-3.98%,19.57%,-94.71%,4.89%,1.43%,19.42%,0.36%,-3.25%,-0.35%,3.48%,2.17%,0.18%
Total Shareholder Return,,,-14.90%,2.38%,-0.45%,-12.11%,10.45%,-4.31%,4.65%,5.75%,1.15%,-1.98%,21.67%,-92.41%,7.49%,4.03%,23.22%,3.16%,0.25%,2.65%,8.18%,5.77%,3.27%
