Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Debt / Equity Ratio,,,,,,,,0.37,0.33,0.25,0.24,0.15,0.04,0.56,0.72,0.62,0.50,0.55,0.51,0.70,0.74,0.67,0.79,0.74,0.80,0.96,0.79,0.77,0.70,0.77,0.74
Debt / EBITDA Ratio,,,,,,,,0.79,0.77,0.63,0.61,1.61,0.16,1.47,2.17,1.71,1.61,1.88,1.99,2.89,3.89,3.51,3.74,3.76,3.63,4.01,3.06,3.83,2.94,3.81,3.40
Debt / FCF Ratio,,,,,,,,1.38,1.69,0.75,0.73,0.68,0.49,1.89,4.14,2.93,2.69,2.88,2.92,5.22,6.74,4.18,6.60,4.32,5.64,4.70,2.85,5.22,5.31,4.52,3.69
Interest Coverage,,,,,,,,14.50,20.53,25.14,25.87,1.40,19.19,12.52,5.53,8.25,7.18,6.09,6.70,6.49,4.00,3.54,3.73,3.61,4.16,4.22,5.23,5.10,6.16,5.01,5.20
Quick Ratio,,1.00,0.97,0.93,0.94,0.96,1.00,0.90,0.97,0.95,0.95,0.95,0.94,0.97,0.85,0.96,1.01,0.97,0.95,0.80,0.86,0.87,0.82,0.95,0.92,0.90,0.99,0.97,0.17,0.15,0.13
Current Ratio,,1.05,1.04,1.02,1.00,1.03,1.07,0.95,1.01,1.02,1.01,1.01,0.99,1.02,0.92,1.04,1.09,1.06,1.03,0.88,1.05,1.01,0.96,1.08,1.06,1.02,1.10,1.06,1.04,1.03,1.04
Asset Turnover,,,0.85,0.87,0.86,0.87,0.83,0.64,0.45,0.46,0.46,0.43,0.43,0.46,0.49,0.52,0.54,0.50,0.50,0.54,0.50,0.52,0.51,0.48,0.43,0.38,0.33,0.29,0.21,0.20,0.19
Return on Equity (ROE),,,35.10%,38.50%,30.90%,36.90%,32.30%,36.50%,27.30%,25.10%,26.50%,4.10%,15.60%,17.70%,10.50%,15.10%,17.40%,12.00%,12.70%,14.50%,10.20%,10.10%,11.00%,12.10%,14.10%,13.50%,14.60%,11.30%,12.50%,9.40%,10.30%
Return on Assets (ROA),,,7.90%,9.60%,8.30%,10.10%,9.70%,9.00%,5.50%,5.40%,6.10%,0.90%,3.80%,3.90%,2.30%,3.90%,5.00%,3.40%,3.90%,4.50%,3.30%,3.40%,3.50%,3.70%,3.90%,3.50%,3.80%,3.20%,2.80%,1.90%,2.00%
Return on Capital (ROIC),,33.78%,33.97%,33.58%,28.56%,33.33%,28.26%,26.39%,19.39%,19.69%,20.89%,18.60%,15.07%,14.59%,9.03%,10.51%,11.55%,8.72%,9.23%,9.46%,8.03%,9.80%,12.47%,13.11%,13.75%,10.97%,10.57%,9.52%,9.71%,8.56%,8.93%
Earnings Yield,,,8.81%,10.14%,7.70%,7.00%,3.71%,4.29%,5.03%,5.00%,6.28%,1.05%,4.43%,6.11%,3.14%,5.61%,5.65%,3.82%,4.52%,4.35%,3.99%,4.93%,4.29%,4.21%,4.68%,3.77%,3.44%,2.58%,2.80%,2.00%,1.79%
FCF Yield,,,7.04%,10.65%,5.99%,6.31%,5.94%,3.42%,4.04%,6.96%,8.27%,5.65%,2.47%,9.32%,5.22%,8.20%,6.63%,6.31%,6.77%,4.52%,4.67%,8.12%,4.67%,6.34%,4.73%,5.92%,7.18%,3.59%,3.04%,3.79%,3.66%
Dividend Yield,2.80%,2.70%,3.70%,3.60%,3.20%,2.50%,1.40%,1.50%,2.00%,2.20%,3.10%,3.60%,4.10%,5.10%,4.90%,5.70%,4.40%,3.90%,3.90%,3.00%,3.10%,3.60%,2.90%,2.50%,2.20%,1.80%,1.50%,1.10%,1.10%,1.00%,0.83%
Payout Ratio,40.70%,38.90%,44.50%,37.80%,44.90%,39.20%,41.40%,35.10%,40.30%,44.20%,48.50%,339.40%,90.90%,85.50%,154.20%,100.00%,77.10%,102.30%,84.50%,67.30%,72.70%,71.50%,68.20%,58.40%,47.30%,47.80%,42.00%,43.00%,38.50%,48.80%,46.65%
Buyback Yield / Dilution,,-0.38%,-3.02%,7.23%,-4.79%,-6.31%,-7.10%,-7.62%,-3.86%,-2.39%,-2.59%,-3.03%,-3.05%,4.28%,-1.17%,-7.16%,-4.13%,-6.49%,-10.19%,-5.75%,-22.68%,-9.49%,-0.71%,-1.61%,-1.58%,-1.56%,-3.11%,-7.78%,-1.72%,-2.40%,-2.19%
Total Shareholder Return,2.80%,2.32%,0.68%,10.83%,-1.59%,-3.81%,-5.70%,-6.12%,-1.86%,-0.19%,0.51%,0.57%,1.05%,9.38%,3.73%,-1.46%,0.27%,-2.59%,-6.29%,-2.75%,-19.58%,-5.89%,2.19%,0.89%,0.62%,0.24%,-1.61%,-6.68%,-0.62%,-1.40%,-1.36%
