Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
EV/EBIT Ratio,,1.64,11.12,14.64,18.05,13.06,76.18,18.80,11.63,9.99,7.21,11.35,7.82,8.63,-142.27,8.34,8.82,8.89,10.16,9.87,8.87,10.46,14.85,15.65,11.89,8.71,8.56,14.62,70.40,19.33,14.64
EV/FCF Ratio,,1.34,9.08,15.36,27.86,9.68,12.06,10.37,6.74,8.62,7.39,13.43,11.51,9.38,8.39,9.95,9.23,10.12,9.34,10.29,11.06,9.70,9.33,9.90,6.55,7.81,9.43,8.54,12.45,9.58,9.74
Debt / Equity Ratio,,0.46,0.46,0.36,0.30,0.38,0.26,0.34,0.40,0.30,0.25,0.21,0.17,0.44,0.52,0.38,0.32,0.42,0.34,0.30,0.31,0.37,0.40,0.36,0.41,0.32,0.32,0.27,0.40,0.34,0.30
Debt / EBITDA Ratio,,1.60,1.47,1.14,1.00,1.87,4.00,1.52,1.31,0.73,0.49,0.58,0.45,1.14,161.15,1.22,1.10,1.43,1.34,0.96,1.02,1.25,1.76,1.31,1.23,0.78,0.70,1.03,4.25,1.26,0.74
Debt / FCF Ratio,,1.37,1.26,1.27,1.66,1.59,1.08,0.94,0.82,0.66,0.52,0.71,0.70,1.31,1.50,1.53,1.21,1.72,1.32,1.06,1.33,1.25,1.25,0.91,0.73,0.74,0.80,0.65,0.97,0.66,0.52
Interest Coverage,7.87,7.06,8.18,9.96,11.82,6.40,1.41,12.26,14.16,20.47,31.33,25.93,32.48,16.59,-0.63,12.20,12.72,12.21,11.64,15.55,17.32,14.81,11.25,14.93,19.97,28.15,34.06,20.26,4.79,19.27,32.28
Asset Turnover,,,0.59,0.64,0.64,0.64,0.66,0.70,0.73,0.77,0.78,0.77,0.76,0.74,0.69,0.75,0.71,0.72,0.75,0.76,0.76,0.72,0.72,0.72,0.72,0.75,0.70,0.68,0.67,0.74,0.74
Return on Equity (ROE),,,19.80%,20.40%,18.90%,10.80%,1.70%,13.40%,19.00%,28.00%,29.20%,24.50%,25.10%,20.80%,-1.60%,20.70%,16.90%,16.70%,14.40%,18.00%,18.90%,17.30%,13.10%,17.60%,23.60%,29.60%,34.30%,18.10%,4.40%,21.70%,33.10%
Return on Assets (ROA),,,5.20%,5.50%,5.50%,3.10%,0.40%,3.90%,5.30%,8.10%,9.30%,7.50%,8.40%,5.90%,-0.40%,5.50%,5.00%,4.70%,4.00%,4.80%,5.00%,4.40%,3.20%,4.30%,5.90%,7.50%,9.40%,4.80%,0.90%,4.60%,7.50%
Return on Capital (ROIC),,13.56%,14.57%,15.27%,14.97%,9.20%,4.39%,10.31%,13.66%,20.24%,26.45%,19.61%,21.16%,17.70%,-1.34%,14.53%,14.48%,13.41%,12.23%,15.47%,14.95%,13.82%,10.36%,13.59%,18.11%,22.81%,26.20%,15.24%,4.09%,15.15%,23.55%
Earnings Yield,,,6.35%,4.62%,3.72%,5.52%,0.61%,3.76%,6.17%,6.95%,9.71%,6.05%,8.93%,8.84%,-0.70%,8.72%,8.10%,8.39%,7.07%,7.12%,8.06%,6.82%,5.00%,4.86%,7.37%,9.32%,9.81%,5.53%,0.92%,4.15%,5.49%
FCF Yield,,,12.74%,7.07%,3.81%,12.33%,9.09%,10.60%,16.86%,12.55%,14.54%,7.86%,9.25%,12.39%,14.51%,11.72%,12.31%,11.74%,12.28%,10.78%,10.21%,11.69%,12.24%,11.04%,17.13%,14.06%,11.58%,12.63%,8.69%,11.20%,10.84%
Dividend Yield,0.60%,0.40%,0.30%,0.20%,0.20%,0.40%,0.30%,0.20%,0.20%,0.10%,0.10%,0.10%,0.10%,10.40%,1.00%,0.00%,5.80%,2.00%,6.70%,1.00%,5.50%,2.20%,2.50%,1.20%,1.90%,3.90%,2.70%,6.20%,0.30%,0.30%,0.16%
Payout Ratio,6.00%,6.40%,5.30%,4.30%,5.00%,6.50%,44.20%,4.90%,3.10%,1.70%,1.40%,1.70%,1.50%,120.50%,-145.00%,0.00%,71.70%,24.80%,93.80%,14.60%,68.80%,31.80%,50.20%,24.90%,25.30%,41.70%,27.30%,112.50%,33.60%,6.10%,2.91%
Buyback Yield / Dilution,,,0.28%,-1.48%,0.80%,0.13%,0.36%,-0.99%,0.89%,1.21%,1.95%,7.57%,1.94%,8.33%,6.21%,0.25%,1.32%,3.98%,4.57%,0.69%,1.46%,0.94%,0.71%,-0.12%,-0.17%,-0.09%,-0.07%,0.09%,0.02%,-0.07%,-0.04%
Total Shareholder Return,0.60%,0.40%,0.58%,-1.28%,1.00%,0.53%,0.66%,-0.79%,1.09%,1.31%,2.05%,7.67%,2.04%,18.73%,7.21%,0.25%,7.12%,5.98%,11.27%,1.69%,6.96%,3.14%,3.21%,1.08%,1.73%,3.81%,2.63%,6.29%,0.32%,0.23%,0.12%
