Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
EV/EBIT Ratio,,0.27,0.43,0.47,2.26,6.15,2.32,2.52,1.06,8.44,7.43,8.26,8.81,8.26,13.02,17.77,38.52,-91.82,13.66,13.19,25.47,15.79,12.05,36.53,-8.70,7.09,6.29,13.61,-156.06,83.81,53.30
EV/FCF Ratio,,0.18,0.25,0.66,4.96,5.05,1.92,1.08,0.56,7.37,9.79,9.36,15.92,18.08,8.55,12.02,19.20,20.32,17.04,10.12,10.69,6.66,8.68,6.27,6.27,5.46,4.02,5.45,7.01,16.67,11.90
Debt / Equity Ratio,,0.07,0.10,0.11,0.37,0.36,0.35,0.23,0.15,0.12,0.13,0.11,0.10,0.09,0.04,0.04,0.15,0.20,0.18,0.16,0.14,0.21,0.17,0.14,0.16,0.09,0.17,0.07,0.07,0.07,0.07
Debt / EBITDA Ratio,,0.40,0.75,0.68,2.78,5.73,2.50,2.64,1.05,0.91,0.66,0.54,0.50,0.53,0.43,0.62,4.07,-148.16,2.12,1.68,2.74,2.43,1.49,3.23,-1.65,0.62,1.26,0.94,19.19,3.50,2.61
Debt / FCF Ratio,,0.27,0.44,0.99,6.35,5.65,2.20,1.26,0.59,0.84,0.92,0.64,0.94,1.21,0.30,0.47,2.63,3.60,2.99,1.41,1.38,1.26,1.24,0.80,1.02,0.52,0.89,0.45,0.52,1.22,0.83
Interest Coverage,751.92,1587.05,29.61,16.57,10.03,3.50,4.57,4.16,15.74,20.76,27.34,24.10,21.21,19.32,18.62,12.84,13.31,-2.17,12.81,21.00,11.73,25.83,25.93,8.60,-19.95,37.14,53.89,34.87,-4.86,9.17,15.12
Asset Turnover,,,0.45,0.41,0.40,0.43,0.41,0.40,0.43,0.39,0.40,0.42,0.40,0.41,0.42,0.42,0.40,0.38,0.39,0.40,0.41,0.42,0.43,0.43,0.43,0.43,0.37,0.37,0.38,0.41,0.42
Return on Equity (ROE),,,11.10%,12.10%,9.20%,6.70%,8.10%,4.80%,9.40%,11.50%,13.60%,14.10%,13.20%,11.30%,7.10%,5.00%,3.00%,0.10%,5.80%,6.70%,3.60%,4.90%,7.00%,1.60%,-7.90%,10.70%,10.70%,4.70%,-0.40%,0.90%,1.50%
Return on Assets (ROA),,,3.30%,3.60%,2.70%,1.80%,2.10%,1.20%,2.50%,3.30%,4.40%,4.80%,4.90%,4.60%,2.90%,2.10%,1.10%,0.00%,1.70%,1.90%,1.00%,1.40%,1.90%,0.40%,-1.80%,2.50%,2.50%,1.10%,-0.10%,0.20%,0.30%
Return on Capital (ROIC),,12.38%,9.83%,11.09%,7.25%,6.77%,7.34%,5.16%,8.38%,8.20%,10.51%,12.48%,12.00%,10.52%,7.12%,5.09%,2.84%,-1.01%,5.30%,6.01%,3.35%,4.42%,6.46%,1.73%,-9.53%,10.11%,9.03%,4.77%,-0.34%,1.17%,1.71%
Earnings Yield,,,,,,,,,,8.89%,10.40%,8.71%,8.15%,8.82%,5.97%,4.76%,3.10%,0.13%,6.41%,6.30%,3.38%,5.31%,6.57%,1.50%,-8.46%,11.09%,12.61%,5.64%,-0.42%,0.95%,1.47%
FCF Yield,,,,,,,,,,14.87%,11.01%,11.37%,6.67%,5.87%,12.07%,8.37%,5.77%,5.76%,6.73%,10.72%,9.85%,17.21%,12.73%,16.84%,16.45%,17.93%,24.12%,17.41%,14.56%,6.14%,8.44%
Dividend Yield,,,,,,,,,,1.00%,2.00%,1.70%,1.60%,2.10%,2.40%,2.90%,3.20%,3.40%,3.50%,3.20%,3.30%,3.80%,3.10%,3.20%,4.20%,3.90%,4.20%,4.40%,4.60%,4.80%,4.64%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.60%,19.60%,18.60%,19.60%,22.80%,39.30%,58.30%,99.60%,2375.00%,52.90%,48.60%,93.20%,68.70%,46.10%,206.70%,-48.10%,34.30%,32.30%,75.90%,-1091.70%,482.10%,313.50%
Buyback Yield / Dilution,,,,-34.24%,-35.92%,-2.68%,-5.11%,-1.73%,-1.81%,-2.29%,-41.91%,-3.23%,-3.46%,-0.38%,-0.92%,0.10%,-0.35%,0.07%,-0.34%,-2.41%,-2.57%,-4.24%,4.51%,-2.32%,-3.40%,-1.12%,-3.80%,-5.23%,-3.63%,-2.39%,-1.96%
Total Shareholder Return,,,,-34.24%,-35.92%,-2.68%,-5.11%,-1.73%,-1.81%,-1.29%,-39.91%,-1.53%,-1.86%,1.72%,1.48%,3.00%,2.85%,3.47%,3.16%,0.79%,0.73%,-0.44%,7.61%,0.88%,0.80%,2.78%,0.40%,-0.83%,0.97%,2.41%,2.67%
