Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
EV/EBIT Ratio,,0.52,8.99,8.22,21.03,16.28,19.03,11.98,12.10,15.50,9.90,10.37,10.06,12.06,11.40,9.50,7.42,6.75,5.97,6.55,5.85,6.31,6.67,8.53,8.59,8.67,7.72,7.63,9.47,9.40,10.92
EV/FCF Ratio,,0.11,2.22,2.77,4.75,4.62,6.05,4.63,5.10,5.58,3.96,5.26,5.22,6.54,4.46,3.56,3.94,1.96,1.82,3.18,4.30,3.86,4.83,5.93,6.01,7.42,5.71,8.22,12.43,16.07,23.87
Debt / Equity Ratio,,0.15,0.17,0.15,0.16,0.26,0.23,0.22,0.21,0.21,0.19,0.18,0.17,0.17,0.26,0.31,0.27,0.25,0.27,0.33,0.29,0.28,0.26,0.22,0.25,0.23,0.24,0.24,0.37,0.33,0.29
Debt / EBITDA Ratio,,0.53,0.50,0.59,1.06,1.28,1.05,1.10,1.03,1.15,0.80,0.62,0.62,0.58,0.89,1.13,0.82,1.04,0.95,0.96,1.10,1.20,1.24,1.24,1.37,1.41,1.79,1.46,1.46,1.35,1.15
Debt / FCF Ratio,,0.11,0.13,0.20,0.24,0.36,0.33,0.42,0.43,0.42,0.32,0.31,0.32,0.31,0.35,0.42,0.43,0.30,0.29,0.46,0.81,0.73,0.90,0.86,0.96,1.20,1.33,1.58,1.92,2.31,2.32
Interest Coverage,46.53,39.50,41.63,62.79,43.38,44.22,54.26,57.89,63.95,55.45,78.09,97.78,120.16,93.56,67.00,32.04,24.90,16.05,17.48,17.44,15.17,14.36,16.18,17.74,18.94,20.50,18.19,22.88,22.54,27.98,33.56
Asset Turnover,,,0.28,0.25,0.25,0.26,0.26,0.25,0.25,0.24,0.24,0.25,0.25,0.25,0.23,0.23,0.22,0.20,0.20,0.20,0.18,0.18,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.16
Return on Equity (ROE),,,18.50%,21.00%,13.60%,15.10%,16.10%,12.70%,13.90%,11.00%,18.10%,18.40%,19.10%,19.30%,17.20%,21.50%,22.60%,15.90%,19.20%,21.60%,17.00%,14.30%,12.40%,20.80%,12.30%,11.70%,15.70%,12.80%,17.60%,22.00%,23.20%
Return on Assets (ROA),,,1.60%,2.00%,1.70%,1.70%,1.80%,1.80%,2.00%,1.60%,2.30%,2.60%,2.60%,2.60%,1.70%,1.90%,2.50%,1.80%,2.30%,2.60%,2.40%,2.10%,2.00%,3.40%,2.10%,2.20%,3.00%,2.70%,3.30%,3.60%,4.40%
Return on Capital (ROIC),,14.55%,16.28%,15.04%,11.42%,11.96%,12.12%,10.54%,10.82%,9.71%,14.24%,16.07%,15.31%,16.10%,15.23%,14.03%,17.21%,12.73%,14.95%,17.17%,13.37%,12.00%,10.97%,16.32%,10.54%,9.78%,12.20%,10.74%,16.76%,16.46%,16.84%
Earnings Yield,,,6.75%,8.43%,4.18%,4.55%,3.59%,5.36%,5.28%,4.14%,6.28%,6.38%,6.52%,5.35%,5.87%,6.92%,8.75%,9.59%,11.51%,10.14%,10.72%,9.91%,9.36%,13.34%,8.42%,8.51%,15.30%,10.95%,9.88%,9.66%,8.50%
FCF Yield,,,46.13%,37.58%,21.48%,22.32%,16.95%,22.22%,19.54%,18.27%,22.25%,19.09%,19.33%,15.24%,23.24%,28.47%,26.28%,53.69%,60.03%,33.88%,23.80%,26.51%,21.08%,17.76%,17.34%,14.05%,19.07%,13.08%,8.67%,6.62%,4.60%
Dividend Yield,1.40%,1.20%,0.90%,0.90%,0.60%,0.60%,0.50%,0.80%,0.80%,0.80%,1.00%,0.90%,1.20%,1.30%,2.10%,2.40%,2.00%,2.80%,2.50%,2.10%,2.50%,2.60%,2.40%,2.00%,2.30%,2.00%,2.50%,2.30%,2.20%,2.00%,1.75%
Payout Ratio,15.70%,14.00%,13.60%,10.40%,13.80%,13.50%,12.80%,14.70%,14.50%,20.00%,15.30%,14.90%,18.40%,23.90%,36.20%,34.90%,23.00%,29.60%,21.80%,20.90%,22.90%,26.90%,25.70%,15.00%,27.40%,24.30%,16.70%,21.00%,23.00%,21.50%,21.24%
Buyback Yield / Dilution,,3.34%,3.37%,2.54%,2.03%,0.16%,1.08%,1.38%,1.69%,1.17%,1.09%,1.69%,1.16%,1.57%,3.07%,2.04%,-0.86%,0.79%,0.02%,0.40%,2.87%,4.59%,4.44%,3.62%,2.91%,3.64%,4.05%,5.51%,5.77%,6.10%,6.03%
Total Shareholder Return,1.40%,4.54%,4.27%,3.44%,2.63%,0.76%,1.58%,2.18%,2.49%,1.97%,2.09%,2.59%,2.36%,2.87%,5.17%,4.44%,1.14%,3.59%,2.52%,2.50%,5.37%,7.19%,6.84%,5.62%,5.21%,5.64%,6.55%,7.81%,7.97%,8.10%,7.77%
