Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Debt / Equity Ratio,,0.10,0.10,0.11,0.10,0.17,0.19,0.23,0.24,0.25,0.24,0.26,0.21,0.26,0.45,0.35,0.31,0.32,0.29,0.29,0.23,0.26,0.31,0.28,0.30,0.26,0.26,0.32,0.46,0.45,0.43
Debt / EBITDA Ratio,,0.48,0.50,0.38,0.36,0.72,1.04,2.86,3.00,1.33,1.13,2.25,0.63,0.84,-1.86,3.82,3.78,3.74,1.49,1.50,1.04,1.30,1.85,1.18,1.86,0.96,0.98,1.85,-13.38,10.45,1.72
Debt / FCF Ratio,,0.47,0.48,0.53,0.65,1.39,2.33,1.87,1.01,0.92,1.01,0.98,0.95,1.09,1.56,1.44,1.68,3.51,2.19,1.54,1.74,1.55,1.72,1.58,1.32,1.41,1.51,1.67,1.62,1.99,1.29
Interest Coverage,4.43,31.58,29.36,45.29,40.97,30.98,14.13,5.96,5.31,13.91,15.32,7.33,21.11,20.98,-7.62,4.18,4.00,3.61,9.86,10.25,14.16,12.24,10.34,14.58,8.92,19.24,22.85,9.81,-4.30,0.15,10.50
Asset Turnover,,,0.34,0.32,0.30,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.23,0.23,0.20,0.24,0.24,0.26,0.26,0.28,0.31,0.34,0.35,0.35,0.35,0.35,0.35,0.41,0.53,0.56,0.58
Return on Equity (ROE),,,15.90%,21.30%,19.80%,16.20%,13.20%,6.70%,6.50%,14.00%,14.90%,8.50%,23.40%,21.20%,-9.70%,5.60%,4.90%,4.20%,11.50%,10.90%,12.30%,9.80%,8.50%,15.70%,8.80%,18.70%,20.10%,5.60%,-7.10%,-1.90%,16.70%
Return on Assets (ROA),,,2.90%,4.00%,3.80%,3.00%,2.10%,1.10%,1.00%,2.10%,2.20%,1.10%,3.20%,2.90%,-1.20%,0.60%,0.70%,0.60%,1.80%,1.80%,2.40%,1.90%,1.60%,3.10%,1.80%,3.90%,4.50%,1.20%,-1.40%,-0.30%,2.80%
Return on Capital (ROIC),,25.32%,25.99%,25.96%,25.15%,22.87%,21.16%,19.08%,19.96%,20.46%,21.13%,18.00%,27.98%,25.60%,3.31%,14.05%,16.58%,17.20%,20.37%,22.63%,22.00%,20.13%,20.21%,27.19%,25.31%,27.88%,26.61%,23.55%,23.38%,27.88%,35.69%
Earnings Yield,,,8.13%,8.00%,10.43%,14.04%,6.94%,4.82%,4.36%,8.94%,8.96%,5.03%,12.27%,15.55%,-9.56%,5.30%,5.31%,5.68%,11.89%,9.12%,9.32%,8.55%,6.45%,9.15%,7.07%,12.84%,16.34%,4.45%,-3.88%,-0.86%,5.64%
FCF Yield,,,11.40%,8.23%,8.56%,10.60%,4.49%,8.74%,16.07%,18.24%,14.84%,15.42%,12.03%,17.31%,20.61%,25.52%,20.56%,12.15%,14.27%,16.27%,10.01%,13.78%,13.48%,10.69%,17.21%,12.89%,15.51%,14.15%,13.65%,10.89%,12.13%
Dividend Yield,3.00%,1.90%,1.50%,1.10%,1.40%,2.50%,1.60%,2.30%,3.00%,2.10%,2.20%,2.40%,2.20%,2.90%,5.00%,2.70%,2.50%,3.10%,2.20%,1.80%,1.60%,1.90%,1.80%,1.40%,2.20%,1.80%,2.00%,2.80%,2.50%,2.50%,1.88%
Payout Ratio,66.70%,18.40%,18.30%,13.40%,13.60%,17.60%,22.90%,47.20%,68.40%,23.90%,24.50%,47.90%,17.70%,19.50%,-53.60%,50.60%,47.30%,55.60%,18.70%,20.50%,17.60%,23.40%,28.00%,15.60%,31.80%,14.00%,12.30%,63.70%,-66.10%,-296.70%,33.46%
Buyback Yield / Dilution,,0.07%,0.29%,2.63%,4.15%,3.92%,6.85%,3.39%,1.85%,0.52%,0.84%,4.71%,4.51%,6.23%,8.23%,1.35%,-0.30%,3.58%,5.75%,4.60%,6.83%,7.17%,7.25%,2.52%,3.97%,5.58%,5.40%,5.20%,9.33%,3.21%,0.17%
Total Shareholder Return,3.00%,1.97%,1.79%,3.73%,5.55%,6.42%,8.45%,5.69%,4.85%,2.62%,3.04%,7.11%,6.71%,9.13%,13.23%,4.05%,2.20%,6.68%,7.95%,6.40%,8.43%,9.07%,9.05%,3.92%,6.17%,7.38%,7.40%,8.00%,11.83%,5.71%,2.07%
