Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Debt / FCF Ratio,,0.19,0.39,0.28,0.42,0.51,0.74,0.71,0.41,0.30,0.33,0.31,0.44,0.80,9.86,1.77,4.16,0.98,1.04,0.99,1.31,1.70,1.16,1.13,1.05,0.88,0.74,0.89,1.33,1.32,0.76
Interest Coverage,81.41,57.04,69.16,43.16,49.59,34.98,18.63,17.15,15.80,81.43,97.60,49.83,35.03,37.68,-89.79,85.94,27.80,45.17,88.69,105.84,94.83,23.27,18.85,12.02,-0.80,23.19,27.89,18.49,-37.92,5.11,14.23
Asset Turnover,,,0.66,0.70,0.66,0.67,0.67,0.67,0.71,0.77,0.78,0.76,0.75,0.72,0.58,0.74,0.66,0.67,0.67,0.66,0.66,0.65,0.68,0.69,0.64,0.69,0.63,0.60,0.56,0.68,0.69
Return on Equity (ROE),,,17.50%,21.50%,20.00%,14.40%,11.20%,9.90%,6.10%,15.40%,20.80%,16.20%,12.90%,13.10%,-14.10%,23.90%,8.40%,10.40%,6.20%,6.10%,9.40%,4.00%,4.10%,8.20%,-0.30%,18.10%,20.30%,11.60%,-30.90%,6.70%,20.70%
Return on Assets (ROA),,,8.50%,9.70%,9.60%,7.00%,5.30%,4.70%,2.60%,6.30%,8.30%,6.50%,5.10%,5.40%,-5.80%,9.60%,3.60%,4.60%,2.80%,2.60%,3.90%,1.60%,1.50%,2.90%,-0.10%,5.50%,6.20%,3.70%,-7.80%,1.40%,4.40%
Return on Capital (ROIC),,15.57%,14.98%,18.30%,18.20%,13.74%,10.13%,9.33%,5.75%,13.52%,18.11%,14.76%,11.85%,12.21%,-26.98%,19.97%,7.66%,9.79%,5.96%,5.63%,8.31%,3.69%,3.72%,7.41%,-0.68%,15.07%,15.87%,10.29%,-33.64%,5.61%,15.35%
Earnings Yield,,,7.32%,5.13%,7.40%,11.00%,4.60%,4.45%,3.24%,7.28%,8.76%,7.97%,7.45%,8.73%,-9.61%,18.75%,6.46%,7.64%,5.36%,4.10%,5.71%,2.90%,2.19%,4.90%,-0.20%,11.87%,12.96%,8.44%,-27.07%,4.66%,8.46%
FCF Yield,,,13.20%,8.76%,7.78%,14.86%,6.14%,7.68%,15.44%,16.22%,12.82%,14.62%,11.20%,6.39%,0.64%,7.12%,2.73%,5.73%,6.19%,7.03%,7.08%,6.63%,8.25%,11.10%,12.42%,17.78%,19.57%,15.66%,16.74%,21.59%,20.64%
Dividend Yield,2.50%,1.70%,1.80%,1.00%,1.60%,3.80%,2.20%,2.40%,3.20%,2.80%,2.50%,3.00%,3.60%,4.20%,5.00%,5.90%,5.50%,5.30%,6.20%,4.90%,4.40%,5.30%,4.10%,4.70%,4.80%,5.20%,4.80%,4.80%,5.60%,3.40%,1.88%
Payout Ratio,29.60%,24.20%,24.90%,20.20%,22.10%,34.30%,47.50%,54.90%,98.40%,38.90%,28.20%,37.10%,48.90%,47.80%,-52.50%,31.70%,85.30%,69.10%,114.60%,120.10%,76.40%,183.30%,188.10%,95.20%,-2502.00%,43.50%,37.30%,56.50%,-20.60%,73.00%,22.03%
Buyback Yield / Dilution,,,,-0.09%,0.66%,0.17%,0.96%,-0.18%,-0.23%,-0.13%,-0.15%,-0.19%,-0.16%,-0.07%,-0.08%,-0.01%,-0.05%,-0.07%,-0.13%,-0.09%,-0.14%,-0.23%,-0.19%,-0.11%,-0.01%,-0.03%,-0.01%,-0.02%,0.00%,,0.00%
Total Shareholder Return,2.50%,1.70%,1.80%,0.91%,2.26%,3.97%,3.16%,2.22%,2.97%,2.67%,2.35%,2.81%,3.44%,4.13%,4.92%,5.89%,5.45%,5.23%,6.07%,4.81%,4.26%,5.07%,3.91%,4.59%,4.79%,5.17%,4.79%,4.78%,5.60%,3.40%,1.86%
