Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Debt / FCF Ratio,,0.80,2.21,0.48,0.90,1.43,1.67,1.22,1.21,2.07,4.14,2.17,1.86,1.54,1.85,2.06,2.39,2.63,2.52,2.82,2.51,2.35,2.89,2.78,2.13,2.29,9.55,2.70,2.61,3.21,2.80
Interest Coverage,11.62,11.27,9.39,11.80,8.67,-0.20,5.55,5.47,4.68,-1.98,-0.58,4.38,3.17,5.15,6.26,11.31,10.31,3.33,9.59,9.17,4.24,9.10,9.12,9.78,4.75,8.79,6.12,7.81,10.28,9.42,9.53
Asset Turnover,,,0.27,0.59,0.42,0.29,0.23,0.22,0.21,0.21,0.21,0.20,0.21,0.20,0.20,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.19,0.18,0.19,0.17,0.19,0.20,0.21
Return on Equity (ROE),,,10.40%,27.00%,17.70%,-4.10%,10.30%,9.20%,6.30%,-5.30%,-3.70%,7.00%,5.70%,8.90%,7.80%,11.10%,9.90%,3.20%,10.60%,9.90%,4.50%,10.10%,10.20%,10.60%,5.80%,11.50%,7.50%,8.90%,14.90%,13.60%,13.20%
Return on Assets (ROA),,,1.60%,4.70%,3.00%,-0.60%,1.30%,1.30%,0.90%,-0.80%,-0.50%,1.00%,0.80%,1.30%,1.10%,1.60%,1.50%,0.50%,1.50%,1.40%,0.60%,1.40%,1.50%,1.60%,0.80%,1.70%,1.20%,1.40%,2.20%,2.10%,2.10%
Return on Capital (ROIC),,10.69%,9.55%,21.98%,9.07%,-0.38%,8.66%,8.14%,5.63%,-2.47%,7.64%,6.20%,5.72%,7.81%,7.44%,8.46%,8.25%,3.68%,8.44%,8.44%,4.66%,8.50%,8.74%,8.85%,5.72%,9.50%,6.67%,7.92%,12.84%,10.98%,10.56%
Earnings Yield,,,4.65%,8.18%,7.64%,-2.38%,8.32%,8.43%,9.47%,-8.28%,-4.76%,7.58%,5.77%,7.91%,8.98%,13.17%,11.44%,4.61%,15.61%,9.25%,4.57%,10.70%,9.13%,8.07%,8.14%,18.29%,16.97%,19.53%,17.24%,14.56%,11.04%
FCF Yield,,,4.66%,17.66%,21.28%,20.36%,18.71%,27.59%,42.18%,28.81%,14.04%,22.18%,20.12%,20.39%,21.53%,19.10%,15.58%,17.78%,22.24%,10.11%,12.62%,14.71%,10.17%,8.60%,21.67%,24.20%,7.50%,25.42%,16.13%,12.11%,10.41%
Dividend Yield,2.40%,1.90%,1.50%,1.00%,1.00%,1.80%,2.20%,2.20%,3.40%,2.40%,1.70%,1.30%,1.40%,1.30%,1.60%,1.60%,1.40%,1.90%,2.30%,1.60%,1.80%,2.10%,1.80%,1.60%,3.30%,3.70%,5.00%,4.80%,3.10%,3.10%,2.64%
Payout Ratio,44.00%,26.80%,33.40%,21.60%,22.50%,-76.60%,26.30%,26.30%,35.50%,-26.60%,-34.90%,17.20%,23.60%,15.60%,18.50%,12.30%,13.00%,42.00%,14.80%,17.20%,39.50%,19.90%,19.40%,19.60%,41.20%,20.80%,29.30%,24.40%,18.00%,21.30%,24.75%
Buyback Yield / Dilution,,,,2.05%,0.27%,-73.45%,-0.35%,-0.50%,0.23%,-22.59%,-0.15%,-0.52%,-14.94%,-5.34%,8.23%,-0.20%,4.41%,7.81%,5.90%,5.07%,3.51%,3.39%,4.65%,3.33%,2.51%,5.71%,1.26%,-0.39%,2.70%,1.96%,2.95%
Total Shareholder Return,2.40%,1.90%,1.50%,3.05%,1.27%,-71.65%,1.85%,1.70%,3.63%,-20.19%,1.55%,0.78%,-13.54%,-4.04%,9.83%,1.40%,5.81%,9.71%,8.20%,6.67%,5.31%,5.49%,6.45%,4.93%,5.81%,9.41%,6.26%,4.41%,5.80%,5.06%,5.59%
