Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
EV/FCF Ratio,,-0.09,3.43,10.07,8.73,9.31,10.11,7.88,2.98,3.52,3.41,4.51,9.89,7.90,10.72,23.21,13.38,14.79,28.49,92.58,28.30,26.43,19.77,20.44,14.21,14.98,12.35,23.78,-39.77,-19.78,-57.55
Debt / Equity Ratio,,,,,,,,0.20,0.14,0.19,0.25,0.22,0.16,0.13,0.02,0.03,0.03,0.02,0.06,0.10,0.12,0.18,0.25,0.26,0.19,0.20,0.23,0.31,0.40,0.40,0.39
Debt / EBITDA Ratio,,,,,,,,3.43,2.42,1.61,1.32,0.95,0.57,0.62,0.13,0.15,0.14,0.11,0.29,0.57,0.79,1.94,2.00,2.36,4.33,47.39,-1.69,2.19,8.56,44.36,18.12
Debt / FCF Ratio,,,,,,,,1.35,0.41,0.37,0.41,0.46,0.98,0.67,0.21,0.67,0.37,0.31,1.37,7.63,2.68,3.42,2.67,2.53,1.72,2.22,3.59,6.36,-13.07,-8.13,-24.82
Interest Coverage,,,,,,,,4.71,5.18,12.90,13.83,16.94,26.85,20.73,37.04,92.68,102.03,120.21,182.55,145.16,19.60,9.83,12.72,8.64,2.80,-0.73,-13.00,8.43,0.69,-0.69,0.10
Asset Turnover,,,0.17,0.16,0.17,0.18,0.20,0.19,0.23,0.19,0.19,0.18,0.18,0.16,0.13,0.15,0.14,0.14,0.14,0.14,0.16,0.16,0.17,0.18,0.19,0.21,0.19,0.19,0.19,0.20,0.20
Return on Equity (ROE),,,13.80%,14.10%,15.20%,14.40%,7.20%,3.10%,2.70%,7.20%,12.50%,16.30%,23.60%,14.10%,13.40%,14.00%,12.80%,14.30%,12.10%,12.60%,8.60%,5.70%,7.70%,6.00%,3.00%,0.10%,-12.60%,10.30%,0.00%,-3.50%,-2.10%
Return on Assets (ROA),,,3.80%,3.80%,4.20%,4.10%,2.10%,0.60%,0.50%,1.40%,2.30%,3.10%,5.80%,3.80%,4.10%,4.90%,4.90%,5.80%,5.50%,5.80%,3.70%,2.30%,3.00%,2.20%,1.00%,0.00%,-3.70%,2.40%,0.00%,-0.70%,-0.40%
Return on Capital (ROIC),,14.43%,12.74%,13.04%,14.87%,14.34%,7.04%,3.55%,2.90%,3.07%,6.89%,10.07%,11.96%,12.45%,12.52%,12.90%,12.27%,13.08%,11.63%,11.33%,8.60%,5.61%,7.30%,6.05%,4.04%,-0.67%,-12.19%,4.82%,0.91%,-1.03%,0.15%
Earnings Yield,,,11.51%,7.88%,7.08%,10.34%,6.47%,2.75%,2.04%,4.16%,6.38%,7.51%,14.26%,9.37%,10.05%,12.75%,12.44%,11.78%,10.62%,9.95%,7.61%,4.51%,5.05%,3.51%,2.16%,0.05%,-18.33%,10.55%,-0.04%,-5.49%,-2.82%
FCF Yield,,,27.65%,9.68%,11.31%,10.28%,9.67%,13.52%,29.57%,30.37%,32.72%,24.11%,11.03%,13.60%,9.49%,4.33%,7.48%,6.54%,3.52%,1.10%,3.61%,3.94%,5.62%,5.34%,7.71%,7.13%,8.85%,5.13%,-3.63%,-7.78%,-2.20%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.60%,7.40%,2.20%,8.50%,4.60%,10.60%,10.40%,4.30%,3.40%,2.60%,0.80%,1.10%,0.40%,0.00%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.30%,69.60%,21.80%,116.30%,105.70%,208.80%,295.00%,197.70%,6200.00%,-14.10%,7.50%,-2000.00%,-6.80%,0.00%
Buyback Yield / Dilution,,-4.45%,-10.08%,-8.26%,0.46%,2.98%,2.92%,-4.17%,-8.21%,-11.01%,-9.74%,-2.89%,-6.13%,-2.57%,4.08%,3.53%,2.94%,4.14%,-0.24%,-0.30%,4.02%,7.57%,2.85%,-0.30%,-0.26%,-0.17%,-0.12%,-0.28%,-0.15%,2.50%,5.28%
Total Shareholder Return,,-4.45%,-10.08%,-8.26%,0.46%,2.98%,2.92%,-4.17%,-8.21%,-11.01%,-9.74%,-2.89%,-6.13%,-2.57%,4.08%,3.53%,2.94%,4.74%,7.16%,1.90%,12.52%,12.17%,13.45%,10.10%,4.04%,3.23%,2.48%,0.52%,0.95%,2.90%,5.28%
