Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Debt / FCF Ratio,,0.79,1.18,0.83,2.09,0.97,1.97,1.15,0.94,0.78,1.00,1.04,1.49,1.35,1.88,1.74,1.67,3.85,1.47,1.19,1.01,0.80,0.77,0.82,0.75,0.75,0.61,0.46,0.44,0.43,0.38
Interest Coverage,26.03,18.13,15.05,19.95,11.96,10.76,3.95,6.67,8.97,15.12,22.05,17.14,26.08,23.92,11.19,11.58,10.22,4.20,11.48,14.22,14.60,17.62,16.32,14.77,5.74,47.64,28.76,70.77,-12.09,43.15,50.65
Asset Turnover,,,0.28,0.23,0.20,0.19,0.20,0.19,0.20,0.22,0.23,0.24,0.27,0.24,0.26,0.28,0.25,0.25,0.25,0.26,0.27,0.27,0.27,0.27,0.25,0.32,0.29,0.32,0.22,0.32,0.32
Return on Equity (ROE),,,7.70%,7.50%,4.60%,4.80%,2.20%,3.30%,4.00%,6.50%,9.50%,9.90%,14.60%,13.20%,9.00%,9.90%,7.60%,3.30%,8.00%,8.80%,8.20%,9.80%,8.50%,13.80%,3.60%,21.60%,12.90%,24.80%,-4.60%,16.60%,17.90%
Return on Assets (ROA),,,3.40%,3.60%,2.30%,2.30%,1.00%,1.40%,1.70%,2.50%,3.70%,3.80%,5.40%,4.80%,2.90%,3.10%,2.50%,1.10%,2.60%,3.00%,2.90%,3.40%,2.90%,4.90%,1.30%,8.20%,4.70%,10.00%,-1.70%,5.90%,6.50%
Return on Capital (ROIC),,8.13%,6.84%,6.23%,4.33%,4.69%,2.39%,3.44%,4.32%,5.88%,8.69%,9.30%,12.64%,13.14%,9.38%,8.44%,7.06%,3.61%,7.22%,7.93%,7.57%,9.23%,7.96%,12.33%,4.00%,18.98%,10.78%,21.50%,-5.60%,14.54%,16.07%
Earnings Yield,,,6.23%,3.87%,3.95%,4.98%,1.85%,3.13%,3.92%,5.58%,7.85%,7.71%,11.85%,13.03%,9.09%,10.12%,7.27%,3.32%,6.61%,6.03%,6.20%,6.54%,4.74%,8.50%,2.28%,11.62%,8.65%,16.17%,-3.03%,11.35%,9.74%
FCF Yield,,,8.09%,5.31%,3.69%,11.63%,4.93%,8.57%,10.55%,11.62%,10.62%,9.75%,7.17%,9.67%,9.49%,11.31%,9.97%,4.86%,9.92%,9.20%,10.20%,10.98%,8.83%,8.42%,9.21%,6.89%,10.46%,10.71%,12.66%,12.53%,10.42%
Dividend Yield,2.50%,1.70%,1.90%,1.20%,1.70%,2.20%,1.90%,2.20%,2.40%,2.40%,2.50%,2.70%,3.00%,3.60%,5.40%,6.00%,5.00%,5.30%,4.10%,3.20%,3.40%,3.90%,2.50%,3.30%,2.70%,2.10%,2.70%,2.20%,2.70%,2.90%,2.29%
Payout Ratio,32.80%,26.10%,30.40%,30.20%,42.10%,43.90%,102.70%,70.00%,60.70%,43.00%,31.40%,35.00%,25.00%,28.30%,59.30%,59.00%,69.10%,159.00%,62.60%,52.30%,54.80%,59.40%,53.50%,39.30%,120.50%,18.30%,31.80%,13.70%,-90.20%,25.60%,23.77%
Buyback Yield / Dilution,,,,0.77%,-1.38%,1.71%,1.98%,-0.41%,0.02%,0.66%,0.24%,0.99%,0.84%,4.18%,2.18%,-0.20%,-0.02%,0.40%,-0.37%,-0.70%,0.21%,-0.22%,-0.55%,0.41%,0.81%,-0.39%,1.52%,-0.15%,2.46%,0.18%,0.09%
Total Shareholder Return,2.50%,1.70%,1.90%,1.97%,0.32%,3.91%,3.88%,1.79%,2.42%,3.06%,2.74%,3.69%,3.84%,7.78%,7.58%,5.80%,4.98%,5.70%,3.73%,2.50%,3.61%,3.68%,1.95%,3.71%,3.51%,1.71%,4.22%,2.05%,5.16%,3.08%,2.40%
