Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
EV/EBIT Ratio,,4.05,7.90,11.27,9.63,8.78,11.86,11.52,12.04,11.44,11.16,9.19,7.64,5.55,12.44,9.04,6.47,8.20,9.60,11.96,11.40,13.80,17.64,30.40,42.50,17.22,24.21,14.72,8.42,15.96,18.15
EV/FCF Ratio,,1.93,6.49,14.95,17.75,7.82,10.00,7.42,3.83,5.83,6.43,7.21,8.77,11.70,9.02,9.86,12.27,13.63,66.01,18.49,19.31,19.75,18.14,14.85,15.10,15.33,18.56,13.76,25.04,13.39,17.77
Debt / Equity Ratio,,0.31,0.23,0.09,0.13,0.27,0.24,0.23,0.12,0.27,0.24,0.17,0.13,0.17,0.14,0.12,0.13,0.13,0.13,0.18,0.18,0.18,0.18,0.17,0.18,0.15,0.13,0.16,0.17,0.07,0.06
Debt / EBITDA Ratio,,3.48,1.14,0.55,0.94,1.57,1.69,1.60,1.00,1.50,1.33,0.75,0.51,0.48,0.86,0.71,0.53,0.52,0.66,0.80,0.74,0.71,0.87,1.50,1.82,0.60,0.73,0.56,0.27,0.25,0.23
Debt / FCF Ratio,,2.08,0.99,0.77,1.83,1.48,1.52,1.10,0.34,0.79,0.79,0.60,0.59,1.03,0.64,0.79,1.02,0.88,4.62,1.26,1.29,1.04,0.93,0.79,0.71,0.55,0.58,0.53,0.82,0.22,0.23
Interest Coverage,-2.57,3.34,13.55,27.82,17.54,11.49,8.26,14.02,27.20,94.34,15.55,21.21,29.40,37.37,16.90,22.89,30.70,31.34,24.59,22.70,26.48,27.49,22.15,12.39,10.09,31.67,25.97,45.85,90.56,52.67,66.20
Asset Turnover,,,0.19,0.19,0.17,0.20,0.21,0.24,0.24,0.27,0.25,0.22,0.23,0.24,0.22,0.22,0.23,0.23,0.25,0.26,0.27,0.28,0.29,0.28,0.27,0.29,0.27,0.27,0.36,0.30,0.31
Return on Equity (ROE),,,14.30%,12.40%,10.00%,10.70%,9.30%,9.60%,9.80%,13.80%,12.40%,15.90%,19.00%,22.40%,10.80%,12.00%,15.00%,15.10%,12.30%,15.10%,15.20%,16.00%,13.00%,12.10%,7.60%,19.90%,15.00%,22.90%,48.90%,22.70%,23.20%
Return on Assets (ROA),,,3.10%,3.40%,2.90%,2.70%,2.30%,2.40%,2.30%,3.70%,3.10%,4.10%,4.90%,6.40%,3.10%,3.80%,4.90%,4.70%,3.80%,4.60%,4.70%,4.90%,4.10%,3.60%,2.10%,5.60%,4.30%,6.50%,12.40%,6.00%,6.40%
Return on Capital (ROIC),,5.12%,11.21%,10.50%,8.68%,8.96%,7.50%,7.45%,6.65%,9.67%,9.62%,12.90%,15.00%,19.46%,9.91%,10.14%,14.30%,14.15%,11.30%,12.70%,13.26%,13.90%,11.56%,9.26%,5.86%,15.78%,11.41%,17.88%,42.26%,20.00%,19.87%
Earnings Yield,,,10.10%,6.55%,8.17%,9.32%,6.55%,7.03%,6.47%,7.57%,6.95%,8.42%,9.77%,13.30%,6.01%,8.15%,11.64%,8.24%,7.53%,6.05%,6.37%,5.13%,4.15%,3.93%,2.09%,4.75%,3.35%,5.51%,9.79%,5.02%,4.50%
FCF Yield,,,18.20%,7.05%,6.28%,15.69%,11.79%,15.84%,28.69%,19.84%,17.73%,15.12%,12.23%,9.37%,11.93%,11.02%,8.89%,7.42%,1.58%,5.69%,5.47%,5.32%,5.77%,7.05%,6.88%,6.69%,5.49%,7.43%,4.11%,7.55%,5.68%
Dividend Yield,2.80%,2.00%,1.20%,1.20%,1.50%,1.60%,1.30%,1.40%,1.20%,1.10%,1.20%,1.30%,1.30%,1.50%,1.60%,2.00%,15.50%,8.50%,9.70%,4.50%,1.40%,4.50%,4.40%,4.30%,4.20%,2.10%,1.90%,2.70%,6.10%,2.30%,0.71%
Payout Ratio,-76.20%,50.50%,12.60%,16.30%,19.00%,17.80%,20.10%,20.00%,19.20%,14.10%,17.60%,15.00%,13.90%,11.70%,27.10%,24.80%,133.60%,103.20%,128.30%,73.60%,22.50%,86.50%,106.10%,107.90%,197.90%,44.60%,55.90%,48.40%,62.40%,46.00%,15.82%
Buyback Yield / Dilution,,-0.82%,-23.37%,3.23%,10.24%,2.78%,2.70%,-0.57%,-2.54%,-26.00%,-0.96%,-0.89%,2.86%,5.81%,9.29%,0.54%,2.25%,-0.91%,-0.68%,-0.82%,-0.70%,-0.71%,-0.68%,-0.15%,-0.75%,-0.94%,-0.26%,-0.74%,-0.18%,-0.62%,-0.43%
Total Shareholder Return,2.80%,1.18%,-22.17%,4.43%,11.74%,4.38%,4.00%,0.83%,-1.34%,-24.90%,0.24%,0.41%,4.16%,7.31%,10.89%,2.54%,17.75%,7.59%,9.02%,3.68%,0.70%,3.79%,3.72%,4.15%,3.45%,1.16%,1.64%,1.96%,5.92%,1.68%,0.29%
