Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Debt / Equity Ratio,,,0.25,0.21,0.14,0.25,0.32,0.32,0.27,0.20,0.18,0.32,0.55,0.56,0.68,0.53,0.41,0.36,0.36,0.45,0.44,0.52,0.55,0.37,0.41,0.31,0.28,0.30,0.56,0.49,0.52
Debt / EBITDA Ratio,,,1.13,1.04,0.90,2.02,1.65,4.18,1.46,1.31,1.06,2.07,3.06,3.31,5.12,3.12,2.30,2.39,2.41,3.55,2.74,3.48,3.25,2.66,3.34,2.64,5.13,2.46,4.20,3.05,3.62
Debt / FCF Ratio,,,0.41,0.25,0.31,0.66,1.41,1.33,2.05,0.69,0.57,1.33,1.84,1.62,2.43,1.51,1.12,1.58,1.25,1.56,1.37,1.55,2.77,1.84,2.24,1.57,1.20,0.92,2.95,1.09,0.57
Interest Coverage,,,15.30,13.18,13.62,8.25,9.35,4.28,6.30,8.24,10.00,9.33,8.20,6.99,4.54,9.47,9.86,8.44,9.73,6.11,11.43,6.21,8.59,8.83,6.76,7.54,4.25,10.96,4.74,5.49,4.84
Asset Turnover,,,0.32,0.26,0.24,0.27,0.30,0.30,0.30,0.30,0.31,0.30,0.29,0.28,0.26,0.30,0.30,0.29,0.26,0.26,0.26,0.22,0.22,0.22,0.21,0.20,0.18,0.19,0.19,0.20,0.21
Return on Equity (ROE),,,13.70%,12.00%,8.80%,5.80%,9.50%,3.60%,11.00%,11.40%,10.60%,9.10%,10.90%,9.80%,6.20%,12.30%,11.50%,10.00%,9.80%,6.80%,10.30%,7.70%,9.50%,22.00%,8.30%,8.00%,3.40%,9.10%,8.00%,11.10%,9.40%
Return on Assets (ROA),,,2.30%,1.50%,1.10%,0.70%,1.30%,0.50%,1.60%,1.60%,1.70%,1.50%,1.60%,1.40%,0.80%,1.70%,1.90%,1.80%,1.70%,1.10%,1.60%,1.10%,1.30%,3.20%,1.20%,1.20%,0.50%,1.30%,0.60%,1.00%,0.90%
Return on Capital (ROIC),,12.58%,11.42%,11.49%,9.58%,5.75%,8.97%,3.53%,9.65%,9.39%,10.29%,7.77%,7.97%,7.76%,5.77%,7.77%,8.46%,7.97%,7.51%,5.80%,7.43%,6.41%,7.20%,15.64%,7.05%,6.61%,2.96%,7.64%,5.96%,8.21%,7.35%
Earnings Yield,,,15.49%,7.39%,5.27%,3.26%,4.44%,2.01%,9.19%,8.96%,7.34%,7.49%,8.43%,9.03%,6.62%,11.74%,13.62%,14.26%,15.99%,7.67%,11.36%,8.93%,8.68%,18.14%,8.13%,8.52%,5.27%,15.81%,5.44%,8.46%,6.01%
FCF Yield,,,72.26%,58.64%,29.64%,22.17%,11.03%,14.81%,11.95%,29.74%,23.52%,20.03%,24.75%,33.79%,27.24%,39.33%,46.85%,34.21%,49.95%,31.61%,37.34%,36.71%,17.59%,19.30%,17.63%,22.26%,41.83%,56.50%,14.14%,37.93%,62.53%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.60%,0.80%,0.70%,0.70%,0.90%,0.60%,0.60%,0.80%,0.50%,0.70%,0.80%,0.80%,0.90%,1.10%,1.60%,1.40%,1.40%,1.60%,1.20%,1.20%,1.60%,1.60%,2.40%,2.60%,2.20%,2.00%,1.64%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,12.30%,19.00%,11.20%,35.80%,9.60%,7.10%,7.60%,10.10%,5.70%,7.60%,13.00%,6.40%,6.60%,8.10%,9.80%,18.60%,12.80%,18.50%,14.30%,6.40%,19.60%,18.70%,44.10%,16.60%,39.60%,24.30%,27.69%
Buyback Yield / Dilution,,-47.46%,-50.70%,-0.76%,-10.81%,-8.66%,-7.94%,0.03%,0.51%,-0.69%,-24.80%,-0.41%,2.02%,-1.02%,-0.52%,-16.81%,-0.59%,-0.06%,-0.80%,4.42%,2.68%,4.29%,2.34%,-0.31%,2.53%,0.26%,-8.51%,0.50%,1.13%,1.39%,1.62%
Total Shareholder Return,,-47.46%,-50.70%,-0.76%,-10.21%,-7.86%,-7.24%,0.73%,1.41%,-0.09%,-24.20%,0.39%,2.52%,-0.32%,0.28%,-16.01%,0.31%,1.04%,0.80%,5.82%,4.08%,5.89%,3.54%,0.89%,4.13%,1.86%,-6.11%,3.10%,3.33%,3.39%,3.27%
