Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
EV/EBIT Ratio,,2.45,-29.48,8.21,10.85,11.44,13.96,61.98,11.70,-78.49,8.77,9.05,8.38,7.19,-2.48,-11.00,6.15,13.21,133.24,26.02,15.55,9.80,21.36,-13.60,8.64,9.40,9.20,8.95,11.37,8.62,10.62
EV/FCF Ratio,,1.78,10.14,7.07,19.04,17.05,8.52,9.27,6.53,5.75,9.84,8.32,5.97,5.12,2.52,4.62,5.05,4.92,5.60,18.17,13.43,9.27,12.26,12.86,7.54,7.83,5.77,7.10,7.34,7.08,7.31
Debt / Equity Ratio,,0.41,0.34,0.49,0.47,0.56,0.45,0.44,0.41,0.49,0.35,0.31,0.23,0.28,0.80,0.39,0.34,0.30,0.32,0.35,0.33,0.30,0.29,0.37,0.36,0.30,0.23,0.28,0.32,0.28,0.28
Debt / EBITDA Ratio,,2.32,-6.46,1.58,1.90,2.34,2.34,10.14,3.05,-94.33,1.63,1.26,0.97,1.05,-1.91,-8.95,2.11,4.31,12.63,6.49,3.39,1.99,3.37,-3.49,1.65,1.48,1.49,1.29,1.41,1.15,1.03
Debt / FCF Ratio,,1.87,1.66,1.43,3.54,3.67,1.49,1.94,1.83,1.49,2.01,1.35,0.80,0.89,1.77,2.35,2.11,2.87,2.79,5.58,3.46,2.19,2.67,2.58,1.72,1.43,1.16,1.25,1.14,1.09,0.79
Interest Coverage,,,,,,,,,5.03,-1.03,10.96,12.85,14.00,16.23,-12.38,-2.62,5.35,1.67,0.24,2.06,4.05,6.70,3.23,-5.79,7.96,10.88,9.98,13.41,11.62,16.52,19.02
Asset Turnover,,,0.12,0.11,0.10,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.09,0.07,0.03,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.19,0.30,0.29,0.30,0.31,0.33,0.33
Return on Equity (ROE),,,-2.10%,25.90%,17.10%,15.80%,15.20%,5.80%,9.90%,-0.80%,15.80%,15.10%,16.30%,15.60%,-19.50%,-7.20%,5.80%,3.10%,-0.40%,0.90%,4.20%,9.20%,5.00%,-19.30%,14.00%,13.30%,10.00%,13.10%,12.70%,17.30%,19.20%
Return on Assets (ROA),,,-0.10%,1.10%,0.70%,0.50%,0.60%,0.30%,0.60%,0.00%,0.90%,0.80%,0.90%,0.80%,-0.90%,-0.30%,0.40%,0.20%,0.00%,0.10%,0.30%,0.70%,0.40%,-1.40%,1.80%,3.00%,2.40%,3.10%,2.50%,3.30%,3.80%
Return on Capital (ROIC),,8.49%,-5.25%,12.62%,12.14%,11.78%,9.37%,4.34%,8.26%,-1.61%,12.24%,12.27%,12.72%,12.82%,-25.44%,-5.01%,7.55%,5.31%,4.30%,5.99%,5.81%,6.85%,4.36%,5.62%,10.08%,11.22%,8.43%,11.24%,11.04%,13.54%,15.34%
Earnings Yield,,,-1.24%,12.06%,8.11%,8.21%,6.12%,3.29%,8.63%,-0.54%,10.39%,8.81%,9.28%,10.78%,-55.86%,-11.38%,9.52%,9.25%,-0.82%,1.09%,4.44%,9.45%,4.98%,-15.60%,11.29%,9.42%,9.78%,10.00%,7.45%,10.27%,8.07%
FCF Yield,,,11.63%,17.53%,6.39%,7.34%,14.03%,13.32%,20.60%,22.80%,12.05%,13.65%,18.40%,21.89%,84.94%,33.38%,28.10%,31.39%,26.71%,7.24%,9.81%,13.76%,10.23%,9.64%,17.06%,15.45%,21.41%,16.85%,15.89%,16.57%,15.42%
Dividend Yield,,0.00%,2.40%,1.70%,5.20%,1.90%,1.40%,1.60%,2.30%,1.80%,1.60%,1.40%,1.80%,2.30%,11.60%,0.90%,0.80%,2.50%,1.80%,1.40%,1.60%,1.80%,1.80%,1.70%,2.50%,2.00%,2.70%,2.10%,2.10%,2.20%,1.54%
Payout Ratio,0.00%,0.00%,-190.50%,14.20%,65.40%,24.00%,21.90%,47.40%,26.20%,-330.30%,15.60%,15.30%,19.10%,21.80%,-21.20%,-6.80%,7.70%,26.50%,-222.20%,135.10%,36.50%,19.30%,37.20%,-10.90%,21.90%,21.00%,27.10%,21.30%,28.50%,21.60%,19.76%
Buyback Yield / Dilution,,,0.38%,-1.88%,1.13%,3.68%,1.36%,-7.58%,-4.31%,-8.18%,-9.03%,-2.90%,-3.37%,-1.01%,3.89%,-12.91%,-28.37%,-0.27%,2.12%,-2.47%,3.49%,5.07%,7.78%,5.56%,-0.57%,-0.47%,0.58%,5.02%,6.54%,5.45%,5.01%
Total Shareholder Return,,,2.78%,-0.18%,6.33%,5.58%,2.76%,-5.98%,-2.01%,-6.38%,-7.43%,-1.50%,-1.57%,1.29%,15.49%,-12.01%,-27.57%,2.23%,3.92%,-1.07%,5.09%,6.87%,9.58%,7.26%,1.93%,1.53%,3.28%,7.12%,8.64%,7.65%,6.55%
